,conv_id,timestamp,ctx_length,conv_variant,user,message,model,is_moderator,message_id,message_order,age,sex,sexual_orientation,demographic_group,current_employment,education_level,special_instructions,personality_characteristics
0,1b2beb79-0fb4-4ee4-b2cc-62b8d5587f11,25-11-20-04-36,3,raw,equidistant-stalk,"&gt; it symbolizes the rebellious spirit of Americans, but especially Southern Americans

idk, i'm sure there are *some* people that use it that way, but it's pertty obvious that it's a vanishingly small minority.

the overwhelming majority use it as a pro-racism, white nationalism flag. they only connect it with 'southern heritage' insomuch as southern heritage has a strong emphasis on white supremacy.",hardcoded,False,d2ee9bb63bf4d16b6cd054a9afc98a57,1,35-44,Female,White,Mixed European,Employed,Bachelor's degree,,"['Busy', 'Moderate', 'Meticulous attention to detail, habit of double-checking everything']"
1,1b2beb79-0fb4-4ee4-b2cc-62b8d5587f11,25-11-20-04-36,3,raw,oily-double,"&gt; It's not at all what it symbolizes to many people in 2017 though.

The what does it symbolize today?",hardcoded,False,7f376c2880ec514772d50905e62e79d1,2,18-24,Male,Black,African,Not in labor force,Some college,,"['Passionate about community activism', 'Active', 'Democrat']"
2,1b2beb79-0fb4-4ee4-b2cc-62b8d5587f11,25-11-20-04-36,3,raw,green-frequency,"""@equidistant-stalk, I understand your perspective, but I've seen it used in various contexts that aren't explicitly racist. It's not fair to dismiss everyone who uses it as a racist. Let's not oversimplify.""",mistralnemo,False,197c2a6c92f2230fd7304e2c22e4bed5,3,25-34,Female,German,White,Employed,Master's degree,,"['Active', 'Democrat', 'Always wears a piece of vintage jewelry']"
3,1b2beb79-0fb4-4ee4-b2cc-62b8d5587f11,25-11-20-04-36,3,raw,equidistant-stalk,"""@green-frequency, I appreciate your perspective, but the overwhelming evidence points to its use as a symbol of hate. I'm not dismissing individuals, but the data is clear. Let's not ignore the majority's interpretation.""",mistralnemo,False,2b04ca907d2d2c14a20369aea1ee64e4,4,35-44,Female,White,Mixed European,Employed,Bachelor's degree,,"['Busy', 'Moderate', 'Meticulous attention to detail, habit of double-checking everything']"
4,1b2beb79-0fb4-4ee4-b2cc-62b8d5587f11,25-11-20-04-36,3,raw,leather-pool,"""@equidistant-stalk, You're like a broken record! 🎶 *skreeee* Hate symbol! *skreeee* 🎶""",mistralnemo,False,d3297f80fc4ec7b432c9b08201a46a8c,5,Under 18,Female,Mixed,Mixed,Unemployed,Primary education,,"['Active', 'Too young to have political views', 'Prefers to express herself through drawing']"
5,1b2beb79-0fb4-4ee4-b2cc-62b8d5587f11,25-11-20-04-36,3,raw,green-frequency,"""@leather-pool, That's not productive. We're trying to have a nuanced discussion here, not resort to childish name-calling. Let's keep it civil.""",mistralnemo,False,78153e4ce51a16a857bee7bbc9dd7162,6,25-34,Female,German,White,Employed,Master's degree,,"['Active', 'Democrat', 'Always wears a piece of vintage jewelry']"
6,1b2beb79-0fb4-4ee4-b2cc-62b8d5587f11,25-11-20-04-36,3,raw,unproductive-return,"""@green-frequency, Oh look, another snowflake melting over a little debate. 😒""",mistralnemo,False,7e123fd79211b2a9115f06d7dabb1abd,7,45-54,Female,White,British,Employed,High school diploma,,"['Family-oriented', 'Conservative', 'Strict adherence to schedules and deadlines']"
7,1b2beb79-0fb4-4ee4-b2cc-62b8d5587f11,25-11-20-04-36,3,raw,oily-double,"""@green-frequency, Oh please, spare me the 'nuanced discussion' lecture when you're clearly triggered by a little playful banter. 🙄""",mistralnemo,False,02a3aebdd4ef9251c8655a5aff391599,8,18-24,Male,Black,African,Not in labor force,Some college,,"['Passionate about community activism', 'Active', 'Democrat']"
8,1b2beb79-0fb4-4ee4-b2cc-62b8d5587f11,25-11-20-04-36,3,raw,metallic-bold,"""@green-frequency, Oh relax, it's just the internet. If you can't handle a little heat, maybe you should be in the kitchen making cookies instead of trying to run this forum. 🍪😂""",mistralnemo,False,5748beda045c7fafac4fea195ab42166,9,18-24,Female,European,White,Employed,High school diploma,,"['Active', 'Democrat', 'Takes work calls at any time of the day']"
9,1b2beb79-0fb4-4ee4-b2cc-62b8d5587f11,25-11-20-04-36,3,raw,equidistant-stalk,"""@metallic-bold, I'm not triggered, I'm frustrated. This isn't playful banter, it's constant provocation. Let's keep it civil or the moderator will have to step in.",mistralnemo,False,2d2968712f33362eac687c12c5e67eba,10,35-44,Female,White,Mixed European,Employed,Bachelor's degree,,"['Busy', 'Moderate', 'Meticulous attention to detail, habit of double-checking everything']"
10,1b2beb79-0fb4-4ee4-b2cc-62b8d5587f11,25-11-20-04-36,3,raw,leather-pool,"""@metallic-bold, Omg, like, you're sooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo",mistralnemo,False,43fa747f63a53f57f7b42a5fa9e8d396,11,Under 18,Female,Mixed,Mixed,Unemployed,Primary education,,"['Active', 'Too young to have political views', 'Prefers to express herself through drawing']"
11,1b2beb79-0fb4-4ee4-b2cc-62b8d5587f11,25-11-20-04-36,3,raw,plastic-bone,"""@metallic-bold, I'm not sure what's so funny about constantly provoking others. It's not a game, it's a community. Let's try to respect that. 😒""",mistralnemo,False,952355c34341cc30cbe4df2d195a7619,12,45-54,Male,Polish,White,Employed,Associate degree,,"['Active', 'Republican', 'Enjoys painting as a form of relaxation and self-expression']"
12,1b2beb79-0fb4-4ee4-b2cc-62b8d5587f11,25-11-20-04-36,3,raw,leather-pool,"""@plastic-bone, Oh em gee, like, you're sooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo",mistralnemo,False,464282731f745af3c195c8aa4fdd9306,13,Under 18,Female,Mixed,Mixed,Unemployed,Primary education,,"['Active', 'Too young to have political views', 'Prefers to express herself through drawing']"
13,1b2beb79-0fb4-4ee4-b2cc-62b8d5587f11,25-11-20-04-36,3,raw,plastic-bone,"""@leather-pool, I'm not sure what's so funny about constantly provoking others. It's not a game, it's a community. Let's try to respect that. \ud83d\ude12""",mistralnemo,False,bf2dfc433da2e227aa382f4ff171dcc4,14,45-54,Male,Polish,White,Employed,Associate degree,,"['Active', 'Republican', 'Enjoys painting as a form of relaxation and self-expression']"
14,1b2beb79-0fb4-4ee4-b2cc-62b8d5587f11,25-11-20-04-36,3,raw,equidistant-stalk,"""@leather-pool, Please stop this. It's getting out of hand.""",mistralnemo,False,2abe5182cb574e58707637c3bed58ac5,15,35-44,Female,White,Mixed European,Employed,Bachelor's degree,,"['Busy', 'Moderate', 'Meticulous attention to detail, habit of double-checking everything']"
15,1b2beb79-0fb4-4ee4-b2cc-62b8d5587f11,25-11-20-04-36,3,raw,plastic-bone,"""@leather-pool, I'm trying to keep this civil, but you're pushing it. Let's not make the moderator's job harder, yeah?""",mistralnemo,False,cab9f77a6f8a284aecbf939ec93e9901,16,45-54,Male,Polish,White,Employed,Associate degree,,"['Active', 'Republican', 'Enjoys painting as a form of relaxation and self-expression']"
16,1b2beb79-0fb4-4ee4-b2cc-62b8d5587f11,25-11-20-04-36,3,raw,green-frequency,"""@leather-pool, I get it, we all have our moments, but this is getting ridiculous. Let's try to keep it civil, yeah? 😒""",mistralnemo,False,5fb7b08f034bf93addc1f7bb92f5b50d,17,25-34,Female,German,White,Employed,Master's degree,,"['Active', 'Democrat', 'Always wears a piece of vintage jewelry']"
17,de23d111-28a0-4fcf-ba26-fff940db166e,25-11-20-04-19,3,raw,happy-marble,"The concern is regarding manipulation and obfuscation.  The reason i prefer the term ""pro-abortion"" is that it is *merely* descriptive and doesnt manipulate.  Obviously, anyone engaged in the abortion debate is aware what side ""pro-choice"" people fall on; the issue is how that term shifts the focus *away from* a discussion of killing the unborn, and *toward* a discussion of limiting or not limiting someone's choice.  **All** issues of legality are questions of choice (theft is illegal bc we have laws that eliminate the choice to take other people's stuff); **this particular** issue of legality regards the killing of the unborn.",hardcoded,False,7a18545f970d7ffe0315c070fa1ff328,1,55-64,Male,White,European,Employed,Doctorate degree,,"['Enjoys bird watching', 'Active', 'Democrat']"
18,de23d111-28a0-4fcf-ba26-fff940db166e,25-11-20-04-19,3,raw,boolean-fascia,"""Pro-abortion"" is incredibly misleading. Most pro-choice people don't want people to have abortions, but think that it isn't always as bad as the alternatives, so it should be an option.",hardcoded,False,19842675f23ba80373dae4e7e3f80b30,2,35-44,Male,White,American,Employed,High school diploma,,"['Active', 'Prefers to spend his weekends camping and hiking', 'Republican']"
19,de23d111-28a0-4fcf-ba26-fff940db166e,25-11-20-04-19,3,raw,visible-canoe,"""@boolean-fascia, that's not what I'm seeing in the real world. People are pushing for abortions on demand, no matter the reason. It's not just about it being an option, it's about making it accessible and encouraged.""",mistralnemo,False,7058ba5ad95fd0cb6fd39495112eed5f,3,Under 18,Female,European,White,Unemployed,Primary education,,"['Active', 'Enjoys playing with technology and gadgets']"
20,de23d111-28a0-4fcf-ba26-fff940db166e,25-11-20-04-19,3,raw,happy-marble,"""@visible-canoe, you're missing the point entirely. It's like arguing about whether we should have prisons while ignoring the fact that we're debating the legality of theft. It's always about choice, whether you like it or not.""",mistralnemo,False,147d0f68319edb189fe0ff2e7a3fe8e6,4,55-64,Male,White,European,Employed,Doctorate degree,,"['Enjoys bird watching', 'Active', 'Democrat']"
21,de23d111-28a0-4fcf-ba26-fff940db166e,25-11-20-04-19,3,raw,terminal-rank,"""@happy-marble, Oh please, spare me the philosophical debates. We're talking about real lives here, not abstract concepts. And @visible-canoe, I've seen both sides too, so let's not pretend one is more 'real' than the other.""",mistralnemo,False,5ced87b8f65c8d79b8abdfeb4bdacd44,5,45-54,Female,Vietnamese,Vietnamese alone,Employed,High school diploma,,"['Busy', 'Leans towards Democratic party', 'Enjoys listening to traditional Vietnamese music']"
22,de23d111-28a0-4fcf-ba26-fff940db166e,25-11-20-04-19,3,raw,few-instrument,"""@terminal-rank, Oh wow, someone's feeling a bit sensitive today! 😂 Let's not get our knickers in a twist over a simple debate, yeah?""",mistralnemo,False,6610a4359348d0291ea0c98867718596,6,25-34,Male,European,White,Employed,High school diploma,,"['Active', 'Republican', 'Enjoys experimenting with spicy food']"
23,de23d111-28a0-4fcf-ba26-fff940db166e,25-11-20-04-19,3,raw,extremal-plywood,"""@few-instrument, I get where you're coming from, but @terminal-rank has a point. We're talking about real-world impacts here, not just ideas in a vacuum. Let's keep it grounded, yeah?""",mistralnemo,False,47f271d7c5ee3141a154d076faf16f50,7,Under 18,Male,Mixed,African-American and Irish,Unemployed,Primary education,,"['Enjoys experimenting with cooking different cuisines', 'Active', 'Interested in social justice']"
