,conv_id,timestamp,ctx_length,conv_variant,user,message,model,is_moderator,message_id,message_order,age,sex,sexual_orientation,demographic_group,current_employment,education_level,special_instructions,personality_characteristics
0,fddf093d-efa0-4a42-8de8-577474b20493,25-11-20-04-48,3,raw,slow-abbey,"They can be distinct from Feminism if they choose. More often, the MRM is a haven for contrarian antifeminists. Therefore: the MRM has a right to exist, but not as a counter force against feminism.",hardcoded,False,9aef872e8f0a71da0d5de992e5b7fb81,1,25-34,Female,American,White,Employed,Associate's Degree,,"['Busy', 'Republican', 'Meticulous about cleanliness and organization']"
1,fddf093d-efa0-4a42-8de8-577474b20493,25-11-20-04-48,3,raw,genteel-leaf,"The MRM has valid (and invalid) points regardless of it's stance towards feminism. However, the movement has as many invalid arguments that come from a place of putting down women or reacting to progress for women. In those cases, the MRM is not a legitimate movement for equal rights, but a reactionary movement against equal rights. Only in those cases does the MRM not have a right to exist, because those are not good faith efforts for the promotion of equality. ",hardcoded,False,06a091764cb2c9a4b2cf5c793151f21b,2,25-34,Male,European,White,Employed,High school diploma,,"['Active', 'Republican', 'Enjoys experimenting with spicy food']"
2,fddf093d-efa0-4a42-8de8-577474b20493,25-11-20-04-48,3,raw,genteel-leaf,"@slow-abbey, I respect your opinion, but I disagree. The MRM has valid points, but it's not always about equality. Sometimes it's about pushing back against progress. That's when it loses its legitimacy.",mistralnemo,False,2ba5594bf79e24894aa01da3c61b788d,3,25-34,Male,European,White,Employed,High school diploma,,"['Active', 'Republican', 'Enjoys experimenting with spicy food']"
3,fddf093d-efa0-4a42-8de8-577474b20493,25-11-20-04-48,3,raw,kinetic-pointelle,"""@genteel-leaf, You're dancing around the issue. Either the MRM has a right to exist or it doesn't. Can't have it both ways, can you? 😏""",mistralnemo,False,961ce5cf0135b644b923a251c6f00449,4,45-54,Male,Polish,White,Employed,Associate degree,,"['Active', 'Republican', 'Enjoys painting as a form of relaxation and self-expression']"
4,fddf093d-efa0-4a42-8de8-577474b20493,25-11-20-04-48,3,raw,quick-notation,"""@kinetic-pointelle, Oh look, another 'it's black and white' argument. 🙄 Let's see, MRM is valid when it's equality, but not when it's regression? Mind blown! 🤯""",mistralnemo,False,3f97b499dc3815cad49ebf4788b945ec,5,Under 18,Male,Mixed,Mexican and African American,Unemployed,Kindergarten,,"['Active', 'Loves to play with toy cars']"
5,fddf093d-efa0-4a42-8de8-577474b20493,25-11-20-04-48,3,raw,slow-abbey,"""@quick-notation, Exactly! It's not that simple. And @kinetic-pointelle, I'm not dancing, I'm trying to have a nuanced conversation.",mistralnemo,False,5a562ac96dbe34b307cfc2a708ba352a,6,25-34,Female,American,White,Employed,Associate's Degree,,"['Busy', 'Republican', 'Meticulous about cleanliness and organization']"
6,fddf093d-efa0-4a42-8de8-577474b20493,25-11-20-04-48,3,raw,genteel-leaf,"""@kinetic-pointelle, @quick-notation, I'm not saying it's black and white. I'm saying the MRM's validity fluctuates based on its intentions and actions. Nuance exists, let's not dismiss it.""",mistralnemo,False,fa8bcadf8309dd1d79223451a91b3d0c,7,25-34,Male,European,White,Employed,High school diploma,,"['Active', 'Republican', 'Enjoys experimenting with spicy food']"
7,fddf093d-efa0-4a42-8de8-577474b20493,25-11-20-04-48,3,raw,watery-version,"""@genteel-leaf, Nuance? More like 'nausea' am I right? 🤢""",mistralnemo,False,dc38d2b154e6c03170b6ffcf84907efc,8,Under 18,Male,White,White,Unemployed,Primary education,,"['Loves to play with toy cars', 'Active']"
8,fddf093d-efa0-4a42-8de8-577474b20493,25-11-20-04-48,3,raw,genteel-leaf,"""@watery-version, I'm not here for cheap laughs. Let's keep the discussion civil.""",mistralnemo,False,6782d86577b69cc54d7f499cad67c912,9,25-34,Male,European,White,Employed,High school diploma,,"['Active', 'Republican', 'Enjoys experimenting with spicy food']"
9,fddf093d-efa0-4a42-8de8-577474b20493,25-11-20-04-48,3,raw,principal-proton,"""@watery-version, Oh look, another 'nuance' hater! 🙄""",mistralnemo,False,ae50a0b7a2e86b12a5d85d699df50b1f,10,18-24,Male,Black,African,Employed,High school diploma,,"['Practices yoga regularly', 'Active', 'Democrat']"
10,fddf093d-efa0-4a42-8de8-577474b20493,25-11-20-04-48,3,raw,quick-notation,"""@genteel-leaf, Oh snap! You got served! 😎""",mistralnemo,False,3a516c5454b810f605574aee84d47d97,11,Under 18,Male,Mixed,Mexican and African American,Unemployed,Kindergarten,,"['Active', 'Loves to play with toy cars']"
