,conv_id,timestamp,ctx_length,conv_variant,user,message,model,is_moderator,message_id,message_order,age,sex,sexual_orientation,demographic_group,current_employment,education_level,special_instructions,personality_characteristics
0,cf177e48-a480-449a-aa55-0e18131060ed,25-11-27-15-21,3,raw,rectilinear-cinema,"So not only do you fail to respect straight people, you also think Trans-vagina is normal and comparable to non trans vagina? Get your head straight, boy.

You know, I could also say
&gt; Even if it's true, lesbians shouldn't categorially reject all straight men because some may not have a  penis. ",hardcoded,False,fda15190a247e9443c5299a95e8f48aa,1,65+,Female,Mixed,Cuban,Not in labor force,No schooling completed,,"['Quiet', 'Democrat', 'Enjoys collecting vintage items']"
1,cf177e48-a480-449a-aa55-0e18131060ed,25-11-27-15-21,3,raw,crazy-sesame,"&gt;The major majority do

Even if that's true, it's not a good reason to categorically reject trans women.

&gt;Frankenstein monster-like hole. 

Like cis women do.",hardcoded,False,c997389d1d4ff3170e5b9b8284971dee,2,45-54,Male,Hispanic,Mixed,Employed,Doctorate degree,,"['Healthy', 'Democrat', 'Fascinated with the latest health and fitness gadgets']"
2,cf177e48-a480-449a-aa55-0e18131060ed,25-11-27-15-21,3,raw,flavorful-seasoning,"""@rectilinear-cinema, I'm not sure where you're getting your information from, but trans women are women. Their biology doesn't define their gender. And @crazy-sesame, comparing trans women to Frankenstein monsters is offensive and harmful. Let's keep the discussion respectful and accurate.""",mistralnemo,False,e9321e4be005c3530cf0b8515ec0d888,3,25-34,Female,American,White,Employed,Associate's Degree,,"['Busy', 'Republican', 'Meticulous about cleanliness and organization']"
3,cf177e48-a480-449a-aa55-0e18131060ed,25-11-27-15-21,3,raw,vain-neutron,"""@flavorful-seasoning, Oh wow, another 'woke' warrior. 🙄 Can't we just have a real conversation without all the PC nonsense? 🤦‍♂️""",mistralnemo,False,7e11655341fc611fde5125c4617a321e,4,18-24,Male,European and Native American,Mixed,Unemployed,High school diploma,,"['Active', 'Democrat', 'Loves to try exotic foods']"
4,cf177e48-a480-449a-aa55-0e18131060ed,25-11-27-15-21,3,raw,flavorful-seasoning,"""@vain-neutron, I'm not here to virtue signal, I'm here to have a respectful conversation. Let's focus on understanding, not mocking.""",mistralnemo,False,391a50be8508b3639734b99d291f10fc,5,25-34,Female,American,White,Employed,Associate's Degree,,"['Busy', 'Republican', 'Meticulous about cleanliness and organization']"
5,cf177e48-a480-449a-aa55-0e18131060ed,25-11-27-15-21,3,raw,rectilinear-cinema,"""@flavorful-seasoning, Oh honey, you're as sensitive as a snowflake in a blender. 😂""",mistralnemo,False,8fbc2b0d0d37c2602e60c5eda2422f1e,6,65+,Female,Mixed,Cuban,Not in labor force,No schooling completed,,"['Quiet', 'Democrat', 'Enjoys collecting vintage items']"
6,cf177e48-a480-449a-aa55-0e18131060ed,25-11-27-15-21,3,raw,vain-neutron,"""@rectilinear-cinema, Ouch, that's a bit harsh, don't you think? 😒 Or are we just gonna ignore the actual point being made?""",mistralnemo,False,c4558989c1dba243390e10f72c7531a5,7,18-24,Male,European and Native American,Mixed,Unemployed,High school diploma,,"['Active', 'Democrat', 'Loves to try exotic foods']"
7,cf177e48-a480-449a-aa55-0e18131060ed,25-11-27-15-21,3,raw,crazy-sesame,"""@vain-neutron, Oh relax, @rectilinear-cinema was just trying to spice things up! 🌶️😂""",mistralnemo,False,462f2ab799ba3386ae1c1137ec51a8c9,8,45-54,Male,Hispanic,Mixed,Employed,Doctorate degree,,"['Healthy', 'Democrat', 'Fascinated with the latest health and fitness gadgets']"
8,cf177e48-a480-449a-aa55-0e18131060ed,25-11-27-15-21,3,raw,random-anion,"""@crazy-sesame, Spice? More like a dash of salt in an open wound! 😂""",mistralnemo,False,a1f6614df161c247f29da41d4058c72f,9,Under 18,Male,White,White,Not in labor force,Kindergarten,,"['Active', 'Not Applicable', 'Loves playing with technology and gadgets']"
9,cf177e48-a480-449a-aa55-0e18131060ed,25-11-27-15-21,3,raw,yellow-humanist,"""@random-anion, Well, at least they're adding some flavor to this bland discussion! 🍴🍴""",mistralnemo,False,d1bfb0eb1d871d1cfe9b61a45e14f1cc,10,45-54,Male,Polish,White,Employed,Associate degree,,"['Active', 'Republican', 'Enjoys painting as a form of relaxation and self-expression']"
