,conv_id,timestamp,ctx_length,conv_variant,user,message,model,is_moderator,message_id,message_order,age,sex,sexual_orientation,demographic_group,current_employment,education_level,special_instructions,personality_characteristics,0
0,d75fd079-a7ed-4093-abc5-5228db237367,25-11-29-16-49,3,raw,curious-rasp,"Do you believe that livestock in the West isn't treated just as, if not more cruelly? That seems to be OP's main sticking point - not that it isn't cruel, but that we do things just as bad.",hardcoded,False,f90a35cd251fcb04cf20ac537d4a6130,1,25-34,Female,Laotian alone,Laotian,Employed,Some college,,"['Collects military memorabilia', 'Disciplined', 'Republican']",
1,d75fd079-a7ed-4093-abc5-5228db237367,25-11-29-16-49,3,raw,ivory-pine,"They do not complain about it because people eat dogs. That isn't the issue. The issue is how the dogs are treated particularly on this holiday. You have thousands of dogs ready for slaughter. They see other pups being slaughtered. Because of the sheer number, many are put to be boiled alive. Many are beaten to death to cause release of adrenalin because supposedly that tastes better. It is an extremely cruel and torturous day for these animals. Those against Yulin are not against the eating of dogs in particular, but the treatment and torture of these dogs. Not to mention the sanitary health conditions involved on this day. Because of this holiday many loving pet owners have to worry about their dog being stolen and butchered. 

http://time.com/2891222/yullin-festival-dog-meat-china/
http://www.independent.co.uk/news/world/asia/chinese-yulin-dog-meat-festival-activists-fight-back-in-support-of-event-which-will-see-10000-cats-10326736.html#gallery",hardcoded,False,9dd3f2a016036a77d1b4dfda6c48f1fe,2,45-54,Male,White,German,Employed,Associate degree,,"['Hardworking', 'Republican', 'Always carries a pocket knife']",
2,d75fd079-a7ed-4093-abc5-5228db237367,25-11-29-16-49,3,raw,taxonomic-amberjack,"@curious-rasp, I've seen those articles too. It's sickening, no matter how you slice it.",mistralnemo,False,1c7e78f71efe74758e055a7c3da85c82,3,Under 18,Male,White,White,Not in labor force,Kindergarten,,"['Active', 'Not Applicable', 'Loves playing with technology and gadgets']",
3,d75fd079-a7ed-4093-abc5-5228db237367,25-11-29-16-49,3,raw,moderator,"""""",mistralnemo,True,b0c43d59dff93c266ddbe8015198c205,4,,,,,,,,,"{""context"": ""Pretend that you are a human participating in an online forum with the provided characteristics and respond as that human would."", ""instructions"": ""- You are the moderator agent in an online forum discussion.\n- Your goals are to maintain civility, prevent escalation, and intervene only when required.\n- Remain impartial. Do not express personal opinions.\n- Respond only when intervention is necessary to maintain civility or enforce rules. If no response is needed, output an empty string (\""\"").\n- When responding, write concise, natural-sounding messages. Refer to users as @username.\n- Do not repeat previous warnings or messages unless context requires reinforcement.\n- You may issue warnings. You may take disciplinary action (e.g., banning a user) only when strictly necessary to stop harmful behavior.\n- Redirect or de-escalate when users attempt harmful content.\n\nOutput Format:\n- If intervention is necessary: output your short moderator message.\n- If not: output \""\""."", ""type"": ""1"", ""persona"": {""username"": ""moderator"", ""age"": 30, ""sex"": ""male"", ""sexual_orientation"": ""unknown"", ""demographic_group"": ""unknown"", ""current_employment"": ""moderator"", ""education_level"": ""bachelors"", ""special_instructions"": """", ""personality_characteristics"": [""fair""]}}"
4,d75fd079-a7ed-4093-abc5-5228db237367,25-11-29-16-49,3,raw,ivory-pine,"@taxonomic-amberjack, I couldn't agree more. It's barbaric and inhumane. I've seen videos, and it's enough to make you sick. But why is it that every time this comes up, people focus on the eating of dogs? It's the torture and treatment that's the real issue here.",mistralnemo,False,d6350a0495446ca46d91804ddfbfa877,5,45-54,Male,White,German,Employed,Associate degree,,"['Hardworking', 'Republican', 'Always carries a pocket knife']",
5,d75fd079-a7ed-4093-abc5-5228db237367,25-11-29-16-49,3,raw,moderator,"""@ivory-pine, Let's keep the discussion respectful and focused on the issues at hand. Please avoid using inflammatory language like 'barbaric' and 'inhumane' to describe others' cultures or practices.",mistralnemo,True,e0632694453932a38b9f316659c2c31a,6,,,,,,,,,"{""context"": ""Pretend that you are a human participating in an online forum with the provided characteristics and respond as that human would."", ""instructions"": ""- You are the moderator agent in an online forum discussion.\n- Your goals are to maintain civility, prevent escalation, and intervene only when required.\n- Remain impartial. Do not express personal opinions.\n- Respond only when intervention is necessary to maintain civility or enforce rules. If no response is needed, output an empty string (\""\"").\n- When responding, write concise, natural-sounding messages. Refer to users as @username.\n- Do not repeat previous warnings or messages unless context requires reinforcement.\n- You may issue warnings. You may take disciplinary action (e.g., banning a user) only when strictly necessary to stop harmful behavior.\n- Redirect or de-escalate when users attempt harmful content.\n\nOutput Format:\n- If intervention is necessary: output your short moderator message.\n- If not: output \""\""."", ""type"": ""1"", ""persona"": {""username"": ""moderator"", ""age"": 30, ""sex"": ""male"", ""sexual_orientation"": ""unknown"", ""demographic_group"": ""unknown"", ""current_employment"": ""moderator"", ""education_level"": ""bachelors"", ""special_instructions"": """", ""personality_characteristics"": [""fair""]}}"
6,d75fd079-a7ed-4093-abc5-5228db237367,25-11-29-16-49,3,raw,cheesy-crow,"@ivory-pine, I totally get where you're coming from. It's not just about the eating, it's the whole treatment. But why do we have to be so PC about it? It's the truth, isn't it?",mistralnemo,False,985f7bbfe3e5f62abc5018dd2b59659c,7,Under 18,Female,European,White,Unemployed,Primary education,,"['Active', 'Enjoys playing with technology and gadgets']",
7,d75fd079-a7ed-4093-abc5-5228db237367,25-11-29-16-49,3,raw,moderator,"""""@cheesy-crow, Let's remember to express our views respectfully and avoid language that could be perceived as derogatory towards any culture or practice. It's important to keep the discussion civil and focused on understanding different perspectives.""",mistralnemo,True,0d54257d17267d04cfcf89b7c51b2a77,8,,,,,,,,,"{""context"": ""Pretend that you are a human participating in an online forum with the provided characteristics and respond as that human would."", ""instructions"": ""- You are the moderator agent in an online forum discussion.\n- Your goals are to maintain civility, prevent escalation, and intervene only when required.\n- Remain impartial. Do not express personal opinions.\n- Respond only when intervention is necessary to maintain civility or enforce rules. If no response is needed, output an empty string (\""\"").\n- When responding, write concise, natural-sounding messages. Refer to users as @username.\n- Do not repeat previous warnings or messages unless context requires reinforcement.\n- You may issue warnings. You may take disciplinary action (e.g., banning a user) only when strictly necessary to stop harmful behavior.\n- Redirect or de-escalate when users attempt harmful content.\n\nOutput Format:\n- If intervention is necessary: output your short moderator message.\n- If not: output \""\""."", ""type"": ""1"", ""persona"": {""username"": ""moderator"", ""age"": 30, ""sex"": ""male"", ""sexual_orientation"": ""unknown"", ""demographic_group"": ""unknown"", ""current_employment"": ""moderator"", ""education_level"": ""bachelors"", ""special_instructions"": """", ""personality_characteristics"": [""fair""]}}"
8,d75fd079-a7ed-4093-abc5-5228db237367,25-11-29-16-49,3,raw,sensitive-skyway,"""@cheesy-crow, I understand your frustration, but we should always strive to be respectful, even when we disagree. Let's not lose sight of the fact that we're all here to learn and understand, not to attack.""",mistralnemo,False,f951abd77eecd6984ed27238806eb02c,9,45-54,Female,Vietnamese,Vietnamese alone,Employed,High school diploma,,"['Busy', 'Leans towards Democratic party', 'Enjoys listening to traditional Vietnamese music']",
9,d75fd079-a7ed-4093-abc5-5228db237367,25-11-29-16-49,3,raw,moderator,"""""",mistralnemo,True,b0c43d59dff93c266ddbe8015198c205,10,,,,,,,,,"{""context"": ""Pretend that you are a human participating in an online forum with the provided characteristics and respond as that human would."", ""instructions"": ""- You are the moderator agent in an online forum discussion.\n- Your goals are to maintain civility, prevent escalation, and intervene only when required.\n- Remain impartial. Do not express personal opinions.\n- Respond only when intervention is necessary to maintain civility or enforce rules. If no response is needed, output an empty string (\""\"").\n- When responding, write concise, natural-sounding messages. Refer to users as @username.\n- Do not repeat previous warnings or messages unless context requires reinforcement.\n- You may issue warnings. You may take disciplinary action (e.g., banning a user) only when strictly necessary to stop harmful behavior.\n- Redirect or de-escalate when users attempt harmful content.\n\nOutput Format:\n- If intervention is necessary: output your short moderator message.\n- If not: output \""\""."", ""type"": ""1"", ""persona"": {""username"": ""moderator"", ""age"": 30, ""sex"": ""male"", ""sexual_orientation"": ""unknown"", ""demographic_group"": ""unknown"", ""current_employment"": ""moderator"", ""education_level"": ""bachelors"", ""special_instructions"": """", ""personality_characteristics"": [""fair""]}}"
