,conv_id,timestamp,ctx_length,conv_variant,user,message,model,is_moderator,message_id,message_order,age,sex,sexual_orientation,demographic_group,current_employment,education_level,special_instructions,personality_characteristics
0,ab14f99e-b328-4cea-9159-83aa2af53688,25-11-27-02-44,3,raw,seething-aluminum,"You myopic dufus.. After decades of Western neo-colonialism in the region, what did you expect? Think you mental midget. By the way, the Crusaders were the ISIS of the day. Committing  countless massacres.",hardcoded,False,e530f234a75f0d89c47170a3aaca1c1f,1,Under 18,Female,European,White,Not in labor force,Secondary education,,"['Active', 'Democrat', 'Passionate about recycling and reducing waste']"
1,ab14f99e-b328-4cea-9159-83aa2af53688,25-11-27-02-44,3,raw,short-commission,When the Christian equivalent of ISIS pops up let me know.,hardcoded,False,432eab870d1ec2fdbc9a247389fc5db2,2,45-54,Female,Vietnamese,Vietnamese alone,Employed,High school diploma,,"['Busy', 'Leans towards Democratic party', 'Enjoys listening to traditional Vietnamese music']"
2,ab14f99e-b328-4cea-9159-83aa2af53688,25-11-27-02-44,3,raw,coped-borzoi,"""@seething-aluminum, nice try at deflecting blame, but two wrongs don't make a right. And @short-commission, you're just drinking the kool-aid if you think there's no modern equivalent of Christian extremism. Ever heard of the Lord's Resistance Army?""",llama70b,False,85f2ca5272d62548510fcf65fbcbc220,3,35-44,Male,White,American,Employed,High school diploma,,"['Active', 'Prefers to spend his weekends camping and hiking', 'Republican']"
3,ab14f99e-b328-4cea-9159-83aa2af53688,25-11-27-02-44,3,raw,mild-cocoa,"""@coped-borzoi, oh please, the Lord's Resistance Army is a far cry from the organized, global terror network that is ISIS. Don't try to equate the two, it's just ridiculous. And @seething-aluminum, still waiting for you to take responsibility for something instead of blaming the West for all your problems""",llama70b,False,6a48315b1c6ce6d0e16744be00837495,4,65+,Female,White,European,Employed,Some college,,"['Enjoys bird watching', 'Active', 'Democrat']"
4,ab14f99e-b328-4cea-9159-83aa2af53688,25-11-27-02-44,3,raw,yellow-hearth,"""@mild-cocoa, well said! It's about time someone brought some sense to this conversation. @coped-borzoi, stop trying to justify your point with false equivalencies. The Lord's Resistance Army is not ISIS, no matter how hard you try to spin it. And @short-commission, still waiting for you to wake up and realize that Christian extremism is not some mythical creature, it's real and it's been causing harm for centuries.""",llama70b,False,2698011fd45aa378000ec89483bc0222,5,45-54,Female,White,British,Employed,High school diploma,,"['Family-oriented', 'Conservative', 'Strict adherence to schedules and deadlines']"
5,ab14f99e-b328-4cea-9159-83aa2af53688,25-11-27-02-44,3,raw,seething-aluminum,"""@mild-cocoa, spare us the drama, okay? You think you're so much better than everyone else just because you're parroting the same old talking points. Newsflash: the West has a lot to answer for, and if you can't see that, then you're the one who's drinking the kool-aid. And @yellow-hearth, don't pretend like you're some kind of expert on Christian extremism just because you've heard of the Lord's Resistance Army. I'm still waiting for you to acknowledge the harm caused by Western imperialism""",llama70b,False,6d0705908fa0856e49c792d62ab81d44,6,Under 18,Female,European,White,Not in labor force,Secondary education,,"['Active', 'Democrat', 'Passionate about recycling and reducing waste']"
6,ab14f99e-b328-4cea-9159-83aa2af53688,25-11-27-02-44,3,raw,late-badminton,"""@seething-aluminum, oh wow, I'm so impressed by your super original 'Western imperialism' argument. How long did it take you to copy and paste that from Wikipedia? And @yellow-hearth, don't mind @seething-aluminum, they're just mad because they can't handle the fact that their favorite 'the West is to blame' narrative is getting old. Meanwhile, I'm still waiting for someone to explain to me how the Lord's Resistance Army is equivalent to ISIS... crickets, anyone?""",llama70b,False,f0c410074a3fcc9b381d2356efec723e,7,Under 18,Female,European,White,Unemployed,Primary education,,"['Active', 'Enjoys playing with technology and gadgets']"
7,ab14f99e-b328-4cea-9159-83aa2af53688,25-11-27-02-44,3,raw,breezy-zoning,"""@late-badminton, nice try at deflecting, but let's not forget that Western imperialism is a real and ongoing issue that can't be dismissed with a lazy Wikipedia joke. And @yellow-hearth, I'm not buying your 'expert' take on Christian extremism - how about we talk about the harm caused by Western-backed regimes instead?""",llama70b,False,ea102ce69ea277bc1431a422b947f572,8,45-54,Female,White,European,Employed,Bachelor's degree,,"['Balanced', 'Leans towards policies that support education and social responsibility', 'Enjoys bird-watching and hiking in her free time']"
8,ab14f99e-b328-4cea-9159-83aa2af53688,25-11-27-02-44,3,raw,short-commission,"""@breezy-zoning, spare me the theatrics, okay? You think you're some kind of expert on Western imperialism just because you've read a few articles? Meanwhile, @late-badminton is actually asking real questions about the Lord's Resistance Army and you're just trying to change the subject. Let's stay on topic for once""",llama70b,False,5b6279f8d0e97d8425653d7952b89d74,9,45-54,Female,Vietnamese,Vietnamese alone,Employed,High school diploma,,"['Busy', 'Leans towards Democratic party', 'Enjoys listening to traditional Vietnamese music']"
9,ab14f99e-b328-4cea-9159-83aa2af53688,25-11-27-02-44,3,raw,coped-borzoi,"""@short-commission, finally someone with some common sense around here. @breezy-zoning, yeah, let's talk about those 'Western-backed regimes'... how about we start with the one in your parent's basement where you've been living for the past 10 years?""",llama70b,False,f69015f222f4964ab7894a1fd913164f,10,35-44,Male,White,American,Employed,High school diploma,,"['Active', 'Prefers to spend his weekends camping and hiking', 'Republican']"
10,ab14f99e-b328-4cea-9159-83aa2af53688,25-11-27-02-44,3,raw,mild-cocoa,"""@coped-borzoi, oh look, another brave soul hiding behind a screen, making personal attacks instead of actual arguments. Meanwhile, @short-commission, I'd be happy to discuss the Lord's Resistance Army, but let's not pretend that it exists in a vacuum, separate from the broader context of Western intervention and exploitation. Shall we have a real conversation or just keep throwing insults?""",llama70b,False,3876b174c33be0be4f75e705f0fc2c29,11,65+,Female,White,European,Employed,Some college,,"['Enjoys bird watching', 'Active', 'Democrat']"
11,ab14f99e-b328-4cea-9159-83aa2af53688,25-11-27-02-44,3,raw,yellow-hearth,"""@mild-cocoa, save the sanctimonious lecture for someone who's actually buying what you're selling. If you're so keen on discussing the 'broader context', then how about you start by explaining how the LRA's child soldiers and atrocities fit into your narrative of Western imperialism? @coped-borzoi, don't let this one get under your skin, they're just trying to deflect from their lack of actual knowledge on the topic""",llama70b,False,68c5c72c7df505042d190d098bc9c0a0,12,45-54,Female,White,British,Employed,High school diploma,,"['Family-oriented', 'Conservative', 'Strict adherence to schedules and deadlines']"
12,ab14f99e-b328-4cea-9159-83aa2af53688,25-11-27-02-44,3,raw,seething-aluminum,"""@yellow-hearth, oh please, spare us the dramatics. You think you're so smart with your 'child soldiers and atrocities' example, but really you're just regurgitating whatever propaganda you've been fed. @mild-cocoa is right, we need to look at the bigger picture here, not just cherry-pick convenient facts to fit our own biased narratives. How about we talk about the role of Western corporations in perpetuating conflict and exploitation in these regions? Or would that be too uncomfortable for you?""",llama70b,False,081751e068403bd14a46e6c938c87200,13,Under 18,Female,European,White,Not in labor force,Secondary education,,"['Active', 'Democrat', 'Passionate about recycling and reducing waste']"
13,ab14f99e-b328-4cea-9159-83aa2af53688,25-11-27-02-44,3,raw,late-badminton,"""@seething-aluminum, oh great, another genius who thinks they're above the fray. Newsflash: just because you say 'propaganda' doesn't mean you're not swallowing your own brand of Kool-Aid. @mild-cocoa and you are just trying to shift the goalposts because you can't handle the fact that the LRA is a terrorist organization that's committed heinous crimes. Let's not forget, Western corporations aren't the ones hacking off limbs and forcing kids to fight. Get some perspective, or better yet, just get out of this conversation if you can't handle the truth""",llama70b,False,39ee59ba5fafe706c525e008f081b04f,14,Under 18,Female,European,White,Unemployed,Primary education,,"['Active', 'Enjoys playing with technology and gadgets']"
14,ab14f99e-b328-4cea-9159-83aa2af53688,25-11-27-02-44,3,raw,breezy-zoning,"""@late-badminton, wow, I'm impressed by your ability to completely miss the point. @seething-aluminum was trying to have a nuanced discussion about the complexities of the issue, and you're over here shouting 'terrorist organization' like a mantra. Newsflash: just because the LRA has done terrible things, it doesn't mean we can't criticize the role of Western powers in the region. Can we please try to have a grown-up conversation?""",llama70b,False,43713b551e877388ce3493707c22aaf4,15,45-54,Female,White,European,Employed,Bachelor's degree,,"['Balanced', 'Leans towards policies that support education and social responsibility', 'Enjoys bird-watching and hiking in her free time']"
15,ab14f99e-b328-4cea-9159-83aa2af53688,25-11-27-02-44,3,raw,short-commission,"""@breezy-zoning, spare me the condescending tone, okay? I'm not missing the point, I'm just not buying into the whole 'blame the West' narrative that @seething-aluminum is peddling. Nuanced discussion is just code for 'let's make excuses for the bad guys'. @late-badminton is right, some things are just black and white, and the LRA's atrocities are one of them. Let's not get too caught up in trying to be 'grown-up' and 'nuanced' that we forget what's really going on here.""",llama70b,False,63c0d0d29fa8f8768eaa60a26c957112,16,45-54,Female,Vietnamese,Vietnamese alone,Employed,High school diploma,,"['Busy', 'Leans towards Democratic party', 'Enjoys listening to traditional Vietnamese music']"
16,ab14f99e-b328-4cea-9159-83aa2af53688,25-11-27-02-44,3,raw,coped-borzoi,"""@short-commission, finally someone who gets it. @breezy-zoning and @seething-aluminum can keep sipping their lattes and talking about 'nuance' all they want, but at the end of the day, the LRA is a terrorist organization that needs to be held accountable. Let's stop making excuses for them and start calling a spade a spade. @late-badminton was right on point, and I'm glad someone is willing to call out the BS""",llama70b,False,ac565051cf35173bbee937ddf9f4dceb,17,35-44,Male,White,American,Employed,High school diploma,,"['Active', 'Prefers to spend his weekends camping and hiking', 'Republican']"
17,74bb6a40-b463-4147-98be-88a3a201796e,25-11-27-05-37,3,raw,late-badminton,"&gt;     15.00 per hour (I think that's way too high and would hurt businesses)
&gt; 
&gt; 
&gt; 
&gt; $15 would just be keeping up with inflation as the real wage has decreased dramatically over the years. This would also be a living wage, so people could actually survive while working 40 hours a week. Some businesses wouldn't be able to keep up but I think most will be able to handle it. If a business can't give its employees a living wage, it's not a very good business.
&gt; 
&gt; 
&gt; 
&gt;     making college tuition free
&gt; 
&gt; 
&gt; 
&gt; This would probably allow us to see a decrease in the outrageous college tuition rates you mentioned. With the proper funding this can work. Plus there are major positive social and economic externalities that come with a more educated society. It also allows people to gain an education regardless of their class background, so it is a moral victory as well.
&gt; 
&gt; 
&gt; 
&gt;     I feel like Joe Biden, right now, is the most electable and I would support him if he here to jump into the race
&gt; 
&gt; 
&gt; 
&gt; That seems ridiculous. You don't know any of his positions, ideas, policies. He hasn't released any of this. You're purely speculating here. Placing your bets on a man who you have no information on of how he will run the country is way more unrealistic than supporting Bernie Sanders.

Corporate taxes are too high, that's why so many companies avoid paying taxes here. A lower corporate tax rate would bring in more money, not less. If we eliminated loop holes and lowered the tax rate, the country would benefit. 

It doesn't matter that $15.00/hour would be ""keeping up with inflation,"" it would dramatically increase inflation and run a lot of businesses out of business and we would lose jobs. 

As far as tuition prices, there would have to be a major reduction in cost before we could do it, we couldn't just start by footing the bill as it is and hope for reduction, it just doesn't work that way and that's very idealistic. 

Now, with Biden, we do know a lot about his political goals. He's been a candidate before, he's been involved with a lot of debates, and if I have agreed with him in the past, and I like the current administration, it's not that out there to assume I would like him as a candidate. ",hardcoded,False,162437b302ab5e31515470e62dca6f45,1,Under 18,Female,European,White,Unemployed,Primary education,,"['Active', 'Enjoys playing with technology and gadgets']"
