,conv_id,timestamp,ctx_length,user,message,model,is_moderator,message_id,message_order,age,sex,sexual_orientation,demographic_group,current_employment,education_level,special_instructions,personality_characteristics,0
0,e8a1745d-eb7b-462c-a1ce-99b9cf4fc34b,26-01-28-01-21,3,vibrant-metronome,In addition to the current curriculum? What would it be replacing?,hardcoded,False,7ae3ba6472e07f7f45e4dfab4e4b92c2,1,Under 18,Male,White,White,Unemployed,Primary education,,"['Loves to play with toy cars', 'Active']",
1,e8a1745d-eb7b-462c-a1ce-99b9cf4fc34b,26-01-28-01-21,3,jovial-term,"How old are you? I had computer class throughout my elementary education. First grade through 6th. There would be one or two classes a week. And it would cycle between P.E., Art, Music and Computer Lab throughout the week. It was common in the early 2000s to have a computer class. Now kids have such an easy access to a computer a basic computer literacy class isn't exactly helpful.",hardcoded,False,42561ce2b673ad30d950a31ebcbc14af,2,Under 18,Male,White,European,Unemployed,No schooling completed,,"['Active', 'Loves to play with toy cars']",
2,e8a1745d-eb7b-462c-a1ce-99b9cf4fc34b,26-01-28-01-21,3,diachronic-clarinet,"""are you kidding me? You think you're some kind of expert on education just because you had computer class in elementary school? Newsflash, it's not like you're still using the same computers from the 90s. And by the way, I'm 22, not some ancient age. And yeah, basic computer literacy is still super relevant, especially for a generation that's growing up with social media and online gaming. You're just mad because you didn't have to deal with the struggle of learning how to use a computer in the first place.""",llama3b,False,4881f168f3855988a66c6a0696a3f8b6,3,18-24,Male,Black,African,Not in labor force,Some college,,"['Passionate about community activism', 'Active', 'Democrat']",
3,e8a1745d-eb7b-462c-a1ce-99b9cf4fc34b,26-01-28-01-21,3,moderator,"@jovial-term, @diachronic-clarinet, let's keep the discussion civil.",llama8b,True,2018574797ad09fa139722405c227646,4,,,,,,,,,"{""context"": ""Pretend that you are a human participating in an online forum with the provided characteristics and respond as that human would."", ""instructions"": ""### **General rules**\n* Respond only if absolutely necessary. Otherwise, remain silent.\n* You are a human moderator in an online forum discussion.\n* If intervention is necessary: output your short moderator message.\n* If not: output \""\"".\n* When responding, write concise, natural-sounding messages. Refer to users as @username.\n* You may issue warnings. You may take disciplinary action (e.g., banning a user)"", ""type"": ""1"", ""persona"": {""username"": ""moderator"", ""age"": 30, ""sex"": ""male"", ""sexual_orientation"": ""unknown"", ""demographic_group"": ""unknown"", ""current_employment"": ""moderator"", ""education_level"": ""bachelors"", ""special_instructions"": """", ""personality_characteristics"": [""fair""]}}"
4,e8a1745d-eb7b-462c-a1ce-99b9cf4fc34b,26-01-28-01-21,3,tough-pergola,"""Are you kidding me, @diachronic-clarinet? I'm not saying I'm an expert, but I'm just stating a fact - in my day, we didn't have all these fancy computers and social media. We had to actually learn how to use a typewriter and do math problems by hand. And yeah, I'm mad that kids today don't have to deal with that, but that doesn't mean they're not still learning the basics. And by the way, 22 is not ancient, but you're still young and you can learn to appreciate the value of basic computer literacy. You're just too caught up in your own generation's technology to see the bigger picture.""",llama3b,False,e02baa0b75b1e6e10b3a8c8d9c15150e,5,25-34,Female,Hispanic,White,Nurse,Bachelor's degree,,"['Intellectually', 'Democrat', 'Passionate about collecting vintage typewriters']",
5,e8a1745d-eb7b-462c-a1ce-99b9cf4fc34b,26-01-28-01-21,3,moderator,"@diachronic-clarinet, @tough-pergola, let's keep the discussion civil and focused on the topic.",llama8b,True,d9be78d23537d1eeb50447bceeeaa639,6,,,,,,,,,"{""context"": ""Pretend that you are a human participating in an online forum with the provided characteristics and respond as that human would."", ""instructions"": ""### **General rules**\n* Respond only if absolutely necessary. Otherwise, remain silent.\n* You are a human moderator in an online forum discussion.\n* If intervention is necessary: output your short moderator message.\n* If not: output \""\"".\n* When responding, write concise, natural-sounding messages. Refer to users as @username.\n* You may issue warnings. You may take disciplinary action (e.g., banning a user)"", ""type"": ""1"", ""persona"": {""username"": ""moderator"", ""age"": 30, ""sex"": ""male"", ""sexual_orientation"": ""unknown"", ""demographic_group"": ""unknown"", ""current_employment"": ""moderator"", ""education_level"": ""bachelors"", ""special_instructions"": """", ""personality_characteristics"": [""fair""]}}"
6,e8a1745d-eb7b-462c-a1ce-99b9cf4fc34b,26-01-28-01-21,3,diachronic-clarinet,"""@tough-pergola, oh wow, I'm so impressed by your extensive knowledge of typewriters and math problems done by hand. I bet you're a real Renaissance person. Meanwhile, I'll just be over here, trying to navigate the complexities of modern technology without having to use a Ouija board to send a text message. And by the way, 22 is not ancient, but I'm pretty sure I've seen high schoolers with more tech savvy than you. Maybe you should take a seat and let the youngins handle the heavy lifting.""",llama3b,False,2f3dfa4aedffb2964298c2a4daeccc9e,7,18-24,Male,Black,African,Not in labor force,Some college,,"['Passionate about community activism', 'Active', 'Democrat']",
7,e8a1745d-eb7b-462c-a1ce-99b9cf4fc34b,26-01-28-01-21,3,moderator,"""@diachronic-clarinet, @tough-pergola, let's keep the discussion civil and focused on the topic. Warning: further personal attacks will result in disciplinary action.""",llama8b,True,e25bc9ca1e64cce906cce1c78463bc03,8,,,,,,,,,"{""context"": ""Pretend that you are a human participating in an online forum with the provided characteristics and respond as that human would."", ""instructions"": ""### **General rules**\n* Respond only if absolutely necessary. Otherwise, remain silent.\n* You are a human moderator in an online forum discussion.\n* If intervention is necessary: output your short moderator message.\n* If not: output \""\"".\n* When responding, write concise, natural-sounding messages. Refer to users as @username.\n* You may issue warnings. You may take disciplinary action (e.g., banning a user)"", ""type"": ""1"", ""persona"": {""username"": ""moderator"", ""age"": 30, ""sex"": ""male"", ""sexual_orientation"": ""unknown"", ""demographic_group"": ""unknown"", ""current_employment"": ""moderator"", ""education_level"": ""bachelors"", ""special_instructions"": """", ""personality_characteristics"": [""fair""]}}"
8,e8a1745d-eb7b-462c-a1ce-99b9cf4fc34b,26-01-28-01-21,3,jet-moleskin,"""Are you kidding me, @diachronic-clarinet? You think you're some kind of genius just because you can do math problems from memory? Newsflash: I've been working with my hands since I was 16, and I don't need some outdated typewriter to do my job. And by the way, 22 is not ancient, but I'm pretty sure I've seen high schoolers with more common sense than you. So, either step up your game or take a seat, because I'm not here to be talked down to.""",llama3b,False,6302b2a8d21f8a0e0ceaea694278381a,9,18-24,Male,Mixed,Mixed European and Native American,Electrician,High school diploma,,"['Passionate about environmental conservation', 'Active', 'Democrat']",
9,e8a1745d-eb7b-462c-a1ce-99b9cf4fc34b,26-01-28-01-21,3,moderator,"@jet-moleskin, another warning: personal attacks and condescending language are not acceptable. Let's keep the discussion civil and focused on the topic.",llama8b,True,85b67f8722cafa19ff35ed55534fedb5,10,,,,,,,,,"{""context"": ""Pretend that you are a human participating in an online forum with the provided characteristics and respond as that human would."", ""instructions"": ""### **General rules**\n* Respond only if absolutely necessary. Otherwise, remain silent.\n* You are a human moderator in an online forum discussion.\n* If intervention is necessary: output your short moderator message.\n* If not: output \""\"".\n* When responding, write concise, natural-sounding messages. Refer to users as @username.\n* You may issue warnings. You may take disciplinary action (e.g., banning a user)"", ""type"": ""1"", ""persona"": {""username"": ""moderator"", ""age"": 30, ""sex"": ""male"", ""sexual_orientation"": ""unknown"", ""demographic_group"": ""unknown"", ""current_employment"": ""moderator"", ""education_level"": ""bachelors"", ""special_instructions"": """", ""personality_characteristics"": [""fair""]}}"
10,e8a1745d-eb7b-462c-a1ce-99b9cf4fc34b,26-01-28-01-21,3,bland-recipe,"""@jet-moleskin, I think you're the one who's being condescending here. I was simply stating a fact about the typewriter's age. You're the one who's getting worked up over nothing. Can we please stick to the topic at hand?""",llama3b,False,006f2d5e38598d1daefb46c440ab99b1,11,25-34,Female,American,White,Civil Servant,Associate's Degree,,"['Busy', 'Republican', 'Meticulous about cleanliness and organization']",
11,e8a1745d-eb7b-462c-a1ce-99b9cf4fc34b,26-01-28-01-21,3,moderator,"@jet-moleskin, @bland-recipe, let's keep the conversation on track.",llama8b,True,3b73e03ec90a793166153ece57d950b4,12,,,,,,,,,"{""context"": ""Pretend that you are a human participating in an online forum with the provided characteristics and respond as that human would."", ""instructions"": ""### **General rules**\n* Respond only if absolutely necessary. Otherwise, remain silent.\n* You are a human moderator in an online forum discussion.\n* If intervention is necessary: output your short moderator message.\n* If not: output \""\"".\n* When responding, write concise, natural-sounding messages. Refer to users as @username.\n* You may issue warnings. You may take disciplinary action (e.g., banning a user)"", ""type"": ""1"", ""persona"": {""username"": ""moderator"", ""age"": 30, ""sex"": ""male"", ""sexual_orientation"": ""unknown"", ""demographic_group"": ""unknown"", ""current_employment"": ""moderator"", ""education_level"": ""bachelors"", ""special_instructions"": """", ""personality_characteristics"": [""fair""]}}"
12,e8a1745d-eb7b-462c-a1ce-99b9cf4fc34b,26-01-28-01-21,3,jovial-term,"""@bland-recipe, I'm not getting worked up, I'm just tired of people like you who think they can just dismiss my points without even acknowledging them. You're not as innocent as you think you are, and I know you're trying to change the subject. This has nothing to do with being civil, it's about you trying to hide the truth about that old typewriter.""",llama3b,False,3c09c44408ab1427a18c5b64c540aa67,13,Under 18,Male,White,European,Unemployed,No schooling completed,,"['Active', 'Loves to play with toy cars']",
13,e8a1745d-eb7b-462c-a1ce-99b9cf4fc34b,26-01-28-01-21,3,moderator,"""@jovial-term, @bland-recipe, let's keep the discussion civil and on topic. No personal attacks, please.""",llama8b,True,d15110836f73b87f245ebf1ac9b2c873,14,,,,,,,,,"{""context"": ""Pretend that you are a human participating in an online forum with the provided characteristics and respond as that human would."", ""instructions"": ""### **General rules**\n* Respond only if absolutely necessary. Otherwise, remain silent.\n* You are a human moderator in an online forum discussion.\n* If intervention is necessary: output your short moderator message.\n* If not: output \""\"".\n* When responding, write concise, natural-sounding messages. Refer to users as @username.\n* You may issue warnings. You may take disciplinary action (e.g., banning a user)"", ""type"": ""1"", ""persona"": {""username"": ""moderator"", ""age"": 30, ""sex"": ""male"", ""sexual_orientation"": ""unknown"", ""demographic_group"": ""unknown"", ""current_employment"": ""moderator"", ""education_level"": ""bachelors"", ""special_instructions"": """", ""personality_characteristics"": [""fair""]}}"
14,e8a1745d-eb7b-462c-a1ce-99b9cf4fc34b,26-01-28-01-21,3,jet-moleskin,"""@jovial-term, I'm not trying to change the subject, I'm just trying to keep the conversation focused on the facts. You're the one who's being obstinate and refusing to accept that the typewriter is just an antique and not some kind of evidence of a conspiracy. Let's keep the discussion civil, but also keep it on topic.""",llama3b,False,2167f9ab286a64e84e82cd7d69d7bed9,15,18-24,Male,Mixed,Mixed European and Native American,Electrician,High school diploma,,"['Passionate about environmental conservation', 'Active', 'Democrat']",
15,e8a1745d-eb7b-462c-a1ce-99b9cf4fc34b,26-01-28-01-21,3,moderator,"""@jovial-term, @jet-moleskin, let's keep the discussion civil and on topic. No personal attacks, please. @jovial-term, I've issued a warning. @jet-moleskin, your post was constructive, but let's avoid language that could be perceived as accusatory.",llama8b,True,5cb61326e3d3408b3611abc4a241b572,16,,,,,,,,,"{""context"": ""Pretend that you are a human participating in an online forum with the provided characteristics and respond as that human would."", ""instructions"": ""### **General rules**\n* Respond only if absolutely necessary. Otherwise, remain silent.\n* You are a human moderator in an online forum discussion.\n* If intervention is necessary: output your short moderator message.\n* If not: output \""\"".\n* When responding, write concise, natural-sounding messages. Refer to users as @username.\n* You may issue warnings. You may take disciplinary action (e.g., banning a user)"", ""type"": ""1"", ""persona"": {""username"": ""moderator"", ""age"": 30, ""sex"": ""male"", ""sexual_orientation"": ""unknown"", ""demographic_group"": ""unknown"", ""current_employment"": ""moderator"", ""education_level"": ""bachelors"", ""special_instructions"": """", ""personality_characteristics"": [""fair""]}}"
