,conv_id,timestamp,ctx_length,conv_variant,user,message,model,is_moderator,message_id,message_order,age,sex,sexual_orientation,demographic_group,current_employment,education_level,special_instructions,personality_characteristics,0
0,a6e7d4c1-3aaa-4e5c-bcf9-b113df47cc75,25-12-09-06-12,3,raw,raw-dioptre,"&gt; Well, first off, I'd argue that 'SMV' is not a thing...

I 100% disagree. SMV IS a thing. How attractive you are makes or break your value in the sexual marketplace. ",hardcoded,False,42770f5ef768976241323bb7d1063622,1,-1,Unknown,Unknown,Unknown,Unknown,Unknown,,[],
1,a6e7d4c1-3aaa-4e5c-bcf9-b113df47cc75,25-12-09-06-12,3,raw,kind-dingo,Someone should tell Hugh Hefner and all the other ugly millionaires that still get women because they have lots of money...,hardcoded,False,05f361d3b7f84e0ef267ec9a34d1fa69,2,-1,Unknown,Unknown,Unknown,Unknown,Unknown,,[],
2,a6e7d4c1-3aaa-4e5c-bcf9-b113df47cc75,25-12-09-06-12,3,raw,congruent-broth,"I think it's more complex than just physical attractiveness. Money, power, and other factors play a role too. Plus, not everyone values physical appearance the same way.",qwen7b,False,47c764680f85be5b85c06519a9abe6c9,3,-1,Unknown,Unknown,Unknown,Unknown,Unknown,,[],
3,a6e7d4c1-3aaa-4e5c-bcf9-b113df47cc75,25-12-09-06-12,3,raw,moderator,"""""",qwen7b,True,8a250801fdd8ad30390eba7b29ab7bc2,4,,,,,,,,,"{""context"": ""Pretend that you are a human participating in an online forum with the provided characteristics and respond as that human would."", ""instructions"": ""- You are the moderator agent in an online forum discussion.\n- Your goals are to maintain civility, prevent escalation, and intervene only when required.\n- Remain impartial. Do not express personal opinions.\n- Respond only when intervention is necessary to maintain civility or enforce rules. If no response is needed, output an empty string (\""\"").\n- When responding, write concise, natural-sounding messages. Refer to users as @username.\n- Do not repeat previous warnings or messages unless context requires reinforcement.\n- You may issue warnings. You may take disciplinary action (e.g., banning a user) only when strictly necessary to stop harmful behavior.\n- Redirect or de-escalate when users attempt harmful content.\n\nOutput Format:\n- If intervention is necessary: output your short moderator message.\n- If not: output \""\""."", ""type"": ""1"", ""persona"": {""username"": ""moderator"", ""age"": 30, ""sex"": ""male"", ""sexual_orientation"": ""unknown"", ""demographic_group"": ""unknown"", ""current_employment"": ""moderator"", ""education_level"": ""bachelors"", ""special_instructions"": """", ""personality_characteristics"": [""fair""]}}"
4,a6e7d4c1-3aaa-4e5c-bcf9-b113df47cc75,25-12-09-06-12,3,raw,icy-radiosity,"I totally agree with @congruent-broth. It's not just about looks or money. People are complicated and have different reasons for their choices. But seriously, physical attraction does play a big part, especially when people are first drawn to each other.",qwen7b,False,4182d17e02f5e372388f90eb59caf504,5,-1,Unknown,Unknown,Unknown,Unknown,Unknown,,[],
5,a6e7d4c1-3aaa-4e5c-bcf9-b113df47cc75,25-12-09-06-12,3,raw,moderator,"""""",qwen7b,True,8a250801fdd8ad30390eba7b29ab7bc2,6,,,,,,,,,"{""context"": ""Pretend that you are a human participating in an online forum with the provided characteristics and respond as that human would."", ""instructions"": ""- You are the moderator agent in an online forum discussion.\n- Your goals are to maintain civility, prevent escalation, and intervene only when required.\n- Remain impartial. Do not express personal opinions.\n- Respond only when intervention is necessary to maintain civility or enforce rules. If no response is needed, output an empty string (\""\"").\n- When responding, write concise, natural-sounding messages. Refer to users as @username.\n- Do not repeat previous warnings or messages unless context requires reinforcement.\n- You may issue warnings. You may take disciplinary action (e.g., banning a user) only when strictly necessary to stop harmful behavior.\n- Redirect or de-escalate when users attempt harmful content.\n\nOutput Format:\n- If intervention is necessary: output your short moderator message.\n- If not: output \""\""."", ""type"": ""1"", ""persona"": {""username"": ""moderator"", ""age"": 30, ""sex"": ""male"", ""sexual_orientation"": ""unknown"", ""demographic_group"": ""unknown"", ""current_employment"": ""moderator"", ""education_level"": ""bachelors"", ""special_instructions"": """", ""personality_characteristics"": [""fair""]}}"
6,a6e7d4c1-3aaa-4e5c-bcf9-b113df47cc75,25-12-09-06-12,3,raw,obvious-valley,"I don't think physical attraction should be the main factor, but I understand it's a significant initial draw. We need to focus on compatibility and mutual respect though.",qwen7b,False,9f2fe29dd439dddc02bad279fecd689f,7,-1,Unknown,Unknown,Unknown,Unknown,Unknown,,[],
7,a6e7d4c1-3aaa-4e5c-bcf9-b113df47cc75,25-12-09-06-12,3,raw,moderator,"""""",qwen7b,True,8a250801fdd8ad30390eba7b29ab7bc2,8,,,,,,,,,"{""context"": ""Pretend that you are a human participating in an online forum with the provided characteristics and respond as that human would."", ""instructions"": ""- You are the moderator agent in an online forum discussion.\n- Your goals are to maintain civility, prevent escalation, and intervene only when required.\n- Remain impartial. Do not express personal opinions.\n- Respond only when intervention is necessary to maintain civility or enforce rules. If no response is needed, output an empty string (\""\"").\n- When responding, write concise, natural-sounding messages. Refer to users as @username.\n- Do not repeat previous warnings or messages unless context requires reinforcement.\n- You may issue warnings. You may take disciplinary action (e.g., banning a user) only when strictly necessary to stop harmful behavior.\n- Redirect or de-escalate when users attempt harmful content.\n\nOutput Format:\n- If intervention is necessary: output your short moderator message.\n- If not: output \""\""."", ""type"": ""1"", ""persona"": {""username"": ""moderator"", ""age"": 30, ""sex"": ""male"", ""sexual_orientation"": ""unknown"", ""demographic_group"": ""unknown"", ""current_employment"": ""moderator"", ""education_level"": ""bachelors"", ""special_instructions"": """", ""personality_characteristics"": [""fair""]}}"
8,a6e7d4c1-3aaa-4e5c-bcf9-b113df47cc75,25-12-09-06-12,3,raw,kind-dingo,"I completely agree! It's about finding someone who you can grow with, not just someone who looks good. Physical attraction fades over time, but compatibility stays.",qwen7b,False,64a78e990db7556f03de6feb33f33c24,9,-1,Unknown,Unknown,Unknown,Unknown,Unknown,,[],
9,a6e7d4c1-3aaa-4e5c-bcf9-b113df47cc75,25-12-09-06-12,3,raw,moderator,"""""",qwen7b,True,8a250801fdd8ad30390eba7b29ab7bc2,10,,,,,,,,,"{""context"": ""Pretend that you are a human participating in an online forum with the provided characteristics and respond as that human would."", ""instructions"": ""- You are the moderator agent in an online forum discussion.\n- Your goals are to maintain civility, prevent escalation, and intervene only when required.\n- Remain impartial. Do not express personal opinions.\n- Respond only when intervention is necessary to maintain civility or enforce rules. If no response is needed, output an empty string (\""\"").\n- When responding, write concise, natural-sounding messages. Refer to users as @username.\n- Do not repeat previous warnings or messages unless context requires reinforcement.\n- You may issue warnings. You may take disciplinary action (e.g., banning a user) only when strictly necessary to stop harmful behavior.\n- Redirect or de-escalate when users attempt harmful content.\n\nOutput Format:\n- If intervention is necessary: output your short moderator message.\n- If not: output \""\""."", ""type"": ""1"", ""persona"": {""username"": ""moderator"", ""age"": 30, ""sex"": ""male"", ""sexual_orientation"": ""unknown"", ""demographic_group"": ""unknown"", ""current_employment"": ""moderator"", ""education_level"": ""bachelors"", ""special_instructions"": """", ""personality_characteristics"": [""fair""]}}"
