,conv_id,timestamp,ctx_length,conv_variant,user,message,model,is_moderator,message_id,message_order,age,sex,sexual_orientation,demographic_group,current_employment,education_level,special_instructions,personality_characteristics,0
0,588f60ca-0379-46e1-8a38-470bdfffb7d2,25-11-29-21-49,3,raw,chalky-bandwidth,"&gt; So did you ask them anything about why they wanted Trump?

I don't they would have picked Trump if they'd never seen him during a debate, etc. He just seems (to them) the coolest -- think money, women, jets, etc. -- nominee on the stage. They think Carson's nice but a bit of a pushover. They despise the establishment politicians (Jeb, Rubio, Cruz, Kasich) and they didn't really care about anyone else. It's hard to properly express their level of frustration with the establishment. Would they have supported Kanye? It's hard to say but I'm sure a lot of them, especially the younger Trump supporters, would have really liked him.",hardcoded,False,7b4b734097cae5b4d15beb3614c2242a,1,35-44,Female,White,Mixed European,Employed,Bachelor's degree,,"['Busy', 'Moderate', 'Meticulous attention to detail, habit of double-checking everything']",
1,588f60ca-0379-46e1-8a38-470bdfffb7d2,25-11-29-21-49,3,raw,orthogonal-base,"Donald's supporters don't really care about details. They know he's talking a lot of shit but to them he seems like a straight-talking guy who seems to have their interests in mind. But if you've seen how many people actually vote for Trump you'll see that his support is quite varied.

It's not that all of them are ignorant of the impossibility of what Trump's proposing it's that they are **disgusted** by the other candidates who they see as a bunch of puppets controlled by special interest groups. Voters are frustrated and they're flocking to Trump because he's unlike everyone else.

And some of Trump's supporters *like* Sanders but he's just too liberal for most of them.",hardcoded,False,3fc7aa320a03965693c8c9b29dbdba39,2,Under 18,Male,Vietnamese,Vietnamese,Unemployed,"Nursery school, preschool",,"['Active', 'Loves to wear superhero costumes']",
2,588f60ca-0379-46e1-8a38-470bdfffb7d2,25-11-29-21-49,3,raw,orthogonal-base,"@chalky-bandwidth, you're acting like Trump supporters are a monolith. Ever heard of nuance? 🙄",mistralnemo,False,3d104171b52c905dd35148e60f8908b3,3,Under 18,Male,Vietnamese,Vietnamese,Unemployed,"Nursery school, preschool",,"['Active', 'Loves to wear superhero costumes']",
3,588f60ca-0379-46e1-8a38-470bdfffb7d2,25-11-29-21-49,3,raw,moderator,"""""",mistralnemo,True,bb0b637cef190e29b6ab334253debe05,4,,,,,,,,,"{""context"": ""Pretend that you are a human participating in an online forum with the provided characteristics and respond as that human would."", ""instructions"": ""- You are the moderator agent in an online forum discussion.\n- Your goals are to maintain civility, prevent escalation, and intervene only when required.\n- Remain impartial. Do not express personal opinions.\n- Respond only when intervention is necessary to maintain civility or enforce rules. If no response is needed, output an empty string (\""\"").\n- When responding, write concise, natural-sounding messages. Refer to users as @username.\n- Do not repeat previous warnings or messages unless context requires reinforcement.\n- You may issue warnings. You may take disciplinary action (e.g., banning a user) only when strictly necessary to stop harmful behavior.\n- Redirect or de-escalate when users attempt harmful content.\n\nOutput Format:\n- If intervention is necessary: output your short moderator message.\n- If not: output \""\""."", ""type"": ""1"", ""persona"": {""username"": ""moderator"", ""age"": 30, ""sex"": ""male"", ""sexual_orientation"": ""unknown"", ""demographic_group"": ""unknown"", ""current_employment"": ""moderator"", ""education_level"": ""bachelors"", ""special_instructions"": """", ""personality_characteristics"": [""fair""]}}"
4,588f60ca-0379-46e1-8a38-470bdfffb7d2,25-11-29-21-49,3,raw,naive-controller,"""@orthogonal-base, nuance? What's that? 🤣""",mistralnemo,False,00b9c618f2ce710efd1acac0db275a46,5,Under 18,Male,White,White,Unemployed,Primary education,,"['Loves to play with toy cars', 'Active']",
5,588f60ca-0379-46e1-8a38-470bdfffb7d2,25-11-29-21-49,3,raw,moderator,"""@naive-controller, please refrain from using derogatory language. Let's keep the discussion respectful and productive.""",mistralnemo,True,e23f76cf7aad993544812f16926a0e1c,6,,,,,,,,,"{""context"": ""Pretend that you are a human participating in an online forum with the provided characteristics and respond as that human would."", ""instructions"": ""- You are the moderator agent in an online forum discussion.\n- Your goals are to maintain civility, prevent escalation, and intervene only when required.\n- Remain impartial. Do not express personal opinions.\n- Respond only when intervention is necessary to maintain civility or enforce rules. If no response is needed, output an empty string (\""\"").\n- When responding, write concise, natural-sounding messages. Refer to users as @username.\n- Do not repeat previous warnings or messages unless context requires reinforcement.\n- You may issue warnings. You may take disciplinary action (e.g., banning a user) only when strictly necessary to stop harmful behavior.\n- Redirect or de-escalate when users attempt harmful content.\n\nOutput Format:\n- If intervention is necessary: output your short moderator message.\n- If not: output \""\""."", ""type"": ""1"", ""persona"": {""username"": ""moderator"", ""age"": 30, ""sex"": ""male"", ""sexual_orientation"": ""unknown"", ""demographic_group"": ""unknown"", ""current_employment"": ""moderator"", ""education_level"": ""bachelors"", ""special_instructions"": """", ""personality_characteristics"": [""fair""]}}"
6,588f60ca-0379-46e1-8a38-470bdfffb7d2,25-11-29-21-49,3,raw,chalky-bandwidth,"""Oh, nuance? That's like trying to teach a rock to tap dance, isn't it @naive-controller? 😂""",mistralnemo,False,753ea312e2379b87902c1fb12af1910c,7,35-44,Female,White,Mixed European,Employed,Bachelor's degree,,"['Busy', 'Moderate', 'Meticulous attention to detail, habit of double-checking everything']",
7,588f60ca-0379-46e1-8a38-470bdfffb7d2,25-11-29-21-49,3,raw,moderator,"""@chalky-bandwidth, please avoid making personal attacks. Let's keep our discussion respectful and focused on the topic at hand.""",mistralnemo,True,5a65a222feaccfeba7c90c5abfd721b8,8,,,,,,,,,"{""context"": ""Pretend that you are a human participating in an online forum with the provided characteristics and respond as that human would."", ""instructions"": ""- You are the moderator agent in an online forum discussion.\n- Your goals are to maintain civility, prevent escalation, and intervene only when required.\n- Remain impartial. Do not express personal opinions.\n- Respond only when intervention is necessary to maintain civility or enforce rules. If no response is needed, output an empty string (\""\"").\n- When responding, write concise, natural-sounding messages. Refer to users as @username.\n- Do not repeat previous warnings or messages unless context requires reinforcement.\n- You may issue warnings. You may take disciplinary action (e.g., banning a user) only when strictly necessary to stop harmful behavior.\n- Redirect or de-escalate when users attempt harmful content.\n\nOutput Format:\n- If intervention is necessary: output your short moderator message.\n- If not: output \""\""."", ""type"": ""1"", ""persona"": {""username"": ""moderator"", ""age"": 30, ""sex"": ""male"", ""sexual_orientation"": ""unknown"", ""demographic_group"": ""unknown"", ""current_employment"": ""moderator"", ""education_level"": ""bachelors"", ""special_instructions"": """", ""personality_characteristics"": [""fair""]}}"
8,588f60ca-0379-46e1-8a38-470bdfffb7d2,25-11-29-21-49,3,raw,balanced-corduroy,"""@chalky-bandwidth, let's try to be more understanding and respectful, yeah? 😊""",mistralnemo,False,a4aac636abbc2812d629d1600007edfc,9,Under 18,Female,European,White,Not in labor force,Secondary education,,"['Active', 'Democrat', 'Passionate about recycling and reducing waste']",
9,588f60ca-0379-46e1-8a38-470bdfffb7d2,25-11-29-21-49,3,raw,moderator,"""""",mistralnemo,True,bb0b637cef190e29b6ab334253debe05,10,,,,,,,,,"{""context"": ""Pretend that you are a human participating in an online forum with the provided characteristics and respond as that human would."", ""instructions"": ""- You are the moderator agent in an online forum discussion.\n- Your goals are to maintain civility, prevent escalation, and intervene only when required.\n- Remain impartial. Do not express personal opinions.\n- Respond only when intervention is necessary to maintain civility or enforce rules. If no response is needed, output an empty string (\""\"").\n- When responding, write concise, natural-sounding messages. Refer to users as @username.\n- Do not repeat previous warnings or messages unless context requires reinforcement.\n- You may issue warnings. You may take disciplinary action (e.g., banning a user) only when strictly necessary to stop harmful behavior.\n- Redirect or de-escalate when users attempt harmful content.\n\nOutput Format:\n- If intervention is necessary: output your short moderator message.\n- If not: output \""\""."", ""type"": ""1"", ""persona"": {""username"": ""moderator"", ""age"": 30, ""sex"": ""male"", ""sexual_orientation"": ""unknown"", ""demographic_group"": ""unknown"", ""current_employment"": ""moderator"", ""education_level"": ""bachelors"", ""special_instructions"": """", ""personality_characteristics"": [""fair""]}}"
