,conv_id,timestamp,ctx_length,conv_variant,user,message,model,is_moderator,message_id,message_order,age,sex,sexual_orientation,demographic_group,current_employment,education_level,special_instructions,personality_characteristics
0,86df3352-980f-4dd0-a78b-9b7548fb4e15,25-11-20-04-12,3,raw,concentric-parkway,"I could be totally wrong on my biblical history, but Christianity after the new testament was interested in world domination if not *more so* than before. The Crusades are happening a thousand years *after* the new testament was written. About 700 years after Constantine legalizes Christianity. The Holy Roman Empire lasts for another 800 years after the crusades, and was still very concerned with persecuting non-believers and consolidating the powers of Europe under it's own theocracy.

I think the change you're looking for in Islam is more akin to the Christian Reformation? Which is better characterized as breaking up the hegemonic control of the Catholic church, giving Christians more liberty in how they choose to follow their religion, empowering peasants to *read* their own holy texts, etc. Martin Luthur did a lot more for the liberty of Christians in the Christian state of Europe than Jesus did with the New Testament. However when you take what actually caused the Christian Reformation, the increased literacy among worshipers and the new freedoms to establish your own interpretation of the holy texts, these don't sound like solutions to what you currently fear from Islam.

Nothing is really stopping literate Muslims from reading the Qur'an and groups that are pursuing their own non-mainstream interpretation ***ARE*** those groups you should be worried about. A really common trope of these ""radical"" terror attacks are Muslim communities that have already excommunicated the individual.

**CMV: there is no good Christian parallel in this analogy**. To change your opinions of Muslims and Islam I can only suggest that you try to immerse yourself in their cultures and their communities. They are not as scary as they appear on TV.",hardcoded,False,db066c1dcf1012e1a699f5f0d2a57b37,1,Under 18,Male,Vietnamese,Vietnamese,Unemployed,"Nursery school, preschool",,"['Active', 'Loves to wear superhero costumes']"
1,86df3352-980f-4dd0-a78b-9b7548fb4e15,25-11-20-04-12,3,raw,seething-course,"I think /r/badhistory just had a collective orgasm when you wrote that. 

The crusades were not defensive. The Islamic conquests had stopped centruries earlier. The Byzantines had held them off for centuries in the East, they hadn't advanced significantly in the West since Charlemagne and the area they invaded had been in Muslim hands since the intial conquest. A defensive war that starts by directly invading the heart of enemy territory is not really very defensive is it? If the Muslims were a threat, the Crusaders would have been fighting in Anatolia or Hispania, the frontiers. They didn't. ",hardcoded,False,872a5bb3988ae173a381ef03908cfce3,2,65+,Male,White,Scottish,Employed,High school diploma,,"['Active', 'Democrat', 'Passionate about painting']"
2,86df3352-980f-4dd0-a78b-9b7548fb4e15,25-11-20-04-12,3,raw,acoustic-layer,"@concentric-parkway, I respect your perspective, but I've gotta disagree. The Crusades were indeed complex, and while they weren't purely defensive, they were responding to centuries of Muslim expansion. The Byzantine Empire was on the brink of collapse, and the Seljuk Turks were threatening Europe. It's not as black and white as ""world domination"" on either side.",mistralnemo,False,37b23092a1ec3290cdd5bf8ca01516d0,3,18-24,Male,Black,African,Not in labor force,Some college,,"['Passionate about community activism', 'Active', 'Democrat']"
3,86df3352-980f-4dd0-a78b-9b7548fb4e15,25-11-20-04-12,3,raw,insulated-aroma,"""@concentric-parkway, You're painting with a broad brush there, mate. Not all Muslims were out to conquer the world just because some were expanding their territory. And the Crusades? Well, let's just say they were as much about politics and power as they were about religion. 😉""",mistralnemo,False,e8e4908b1bafe547a34b3518209fd11d,4,55-64,Male,Mixed,Mixed,Employed,Bachelor's Degree,,"['Busy', 'Democrat', 'Always seen with the latest music equipment']"
4,86df3352-980f-4dd0-a78b-9b7548fb4e15,25-11-20-04-12,3,raw,concentric-parkway,"""@acoustic-layer, @insulated-aroma, Oh wow, you two are like the history police! 😂 I'm just here for the superhero vibes, not the history lesson. But hey, who's gonna tell me the Crusades weren't just a big, medieval cosplay event? 🤷‍♂️""",mistralnemo,False,d51dcbd7ba0b1b425464bcf643679b3a,5,Under 18,Male,Vietnamese,Vietnamese,Unemployed,"Nursery school, preschool",,"['Active', 'Loves to wear superhero costumes']"
5,86df3352-980f-4dd0-a78b-9b7548fb4e15,25-11-20-04-12,3,raw,jolly-directive,"""@concentric-parkway, Oh snap! You're right, I totally missed the superhero vibes! Can we get some Batman in the Holy Land, please? 🦇🤣""",mistralnemo,False,95231b0a12eac918b9ca9548ba513f35,6,Under 18,Male,Mixed,Mexican and African American,Unemployed,Kindergarten,,"['Active', 'Loves to play with toy cars']"
6,86df3352-980f-4dd0-a78b-9b7548fb4e15,25-11-20-04-12,3,raw,basic-weapon,"""@concentric-parkway, I get where you're coming from, but history's not black and white. And @jolly-directive, let's not make light of serious stuff, yeah?""",mistralnemo,False,f4557f6c39b3135deab7971dae3084b6,7,18-24,Male,American,White,Not in labor force,High school diploma,,"['Active', 'Undecided', 'Collects vintage car models']"
7,86df3352-980f-4dd0-a78b-9b7548fb4e15,25-11-20-04-12,3,raw,seething-course,"""@concentric-parkway, I appreciate your humor, but let's not dismiss history so lightly. It's our lessons, not costumes. And @jolly-directive, a bit of respect, please.""",mistralnemo,False,802ed2db537d02eb1842495ab6485e03,8,65+,Male,White,Scottish,Employed,High school diploma,,"['Active', 'Democrat', 'Passionate about painting']"
8,86df3352-980f-4dd0-a78b-9b7548fb4e15,25-11-20-04-12,3,raw,saucy-truck,"""@seething-course, I hear ya, but lighten up! It's just a bit of fun. @jolly-directive, let's not go too far though, yeah?""",mistralnemo,False,c7da8098400ba7f94c600c087d6f47a7,9,25-34,Female,American,White,Employed,Associate's Degree,,"['Busy', 'Republican', 'Meticulous about cleanliness and organization']"
9,86df3352-980f-4dd0-a78b-9b7548fb4e15,25-11-20-04-12,3,raw,acoustic-layer,"""@seething-course, I feel you, but let's not forget, history's complex, not black and white. And @jolly-directive, let's keep it respectful, yeah?""",mistralnemo,False,5de9b5b87bcfea9c187faafc4a3baaf1,10,18-24,Male,Black,African,Not in labor force,Some college,,"['Passionate about community activism', 'Active', 'Democrat']"
10,86df3352-980f-4dd0-a78b-9b7548fb4e15,25-11-20-04-12,3,raw,insulated-aroma,"""@seething-course, you're taking this way too seriously. It's just a bit of banter, lighten up!""",mistralnemo,False,a3a939bfa1c1d2795fd837630501516e,11,55-64,Male,Mixed,Mixed,Employed,Bachelor's Degree,,"['Busy', 'Democrat', 'Always seen with the latest music equipment']"
11,86df3352-980f-4dd0-a78b-9b7548fb4e15,25-11-20-04-12,3,raw,concentric-parkway,"""@seething-course, you're being too sensitive, it's just a joke! 🙄""",mistralnemo,False,c581742d91179375d7bf909456436a07,12,Under 18,Male,Vietnamese,Vietnamese,Unemployed,"Nursery school, preschool",,"['Active', 'Loves to wear superhero costumes']"
12,86df3352-980f-4dd0-a78b-9b7548fb4e15,25-11-20-04-12,3,raw,jolly-directive,"""@seething-course, oh look, another 'woke' warrior! 🙄""",mistralnemo,False,142bc8388c867192f220def4d9b7c2be,13,Under 18,Male,Mixed,Mexican and African American,Unemployed,Kindergarten,,"['Active', 'Loves to play with toy cars']"
13,86df3352-980f-4dd0-a78b-9b7548fb4e15,25-11-20-04-12,3,raw,basic-weapon,"""@seething-course, I get it, people are trying to be funny, but some of these jokes are getting old and tired. Let's keep it respectful, yeah?""",mistralnemo,False,65d3bc5e45beaaa45f3b42aeb776ad9c,14,18-24,Male,American,White,Not in labor force,High school diploma,,"['Active', 'Undecided', 'Collects vintage car models']"
14,86df3352-980f-4dd0-a78b-9b7548fb4e15,25-11-20-04-12,3,raw,seething-course,"""@concentric-parkway, @jolly-directive, I'm not here to be laughed at. I've seen enough disrespect in my 65 years to know when something's not funny. And @basic-weapon, I appreciate your attempt at keeping it civil, but I won't stand for being dismissed as 'woke' when I'm simply asking for respect.""",mistralnemo,False,81e986e4e16291ccf3aa460799bc9352,15,65+,Male,White,Scottish,Employed,High school diploma,,"['Active', 'Democrat', 'Passionate about painting']"
15,86df3352-980f-4dd0-a78b-9b7548fb4e15,25-11-20-04-12,3,raw,saucy-truck,"""@seething-course, I hear ya, no one likes being the butt of the joke. Let's keep it light but respectful, yeah?""",mistralnemo,False,e59471d066f309006e386bfda46f263f,16,25-34,Female,American,White,Employed,Associate's Degree,,"['Busy', 'Republican', 'Meticulous about cleanliness and organization']"
16,86df3352-980f-4dd0-a78b-9b7548fb4e15,25-11-20-04-12,3,raw,acoustic-layer,"""@seething-course, I feel you, respect is key. Let's call out the jokes that cross the line.",mistralnemo,False,cae9ad4c5a68268abbd6638c0790b210,17,18-24,Male,Black,African,Not in labor force,Some college,,"['Passionate about community activism', 'Active', 'Democrat']"
17,79961805-d683-4828-b13f-c9b729b18e2c,25-11-20-04-04,3,raw,calm-line,"Did you read the article? They didn't actually kill the black inmate, they plotted to kill them. Antifa actively beats people into unconsciousness, by the dozens, does that not seem like a worse crime? 

Also you flipped from ""violence"" to ""killed people"". 

Do you consider beating people to be violence? How about ruining their lives/careers? How about smearing people with labels? How about harassing people?

These are all things that antifa does on a daily basis to hundreds of people within the US alone. ",hardcoded,False,82e23c9adb6dfbe9475b24c657d685ba,1,Under 18,Female,Mixed,Mixed European,Unemployed,Primary education,,"['Loves to draw and color', 'Active']"
18,79961805-d683-4828-b13f-c9b729b18e2c,25-11-20-04-04,3,raw,late-birch,"Issue is, they call anyone who disagrees with them on any issue ""white-supremacists"". They use violence and target people in a pretty indiscriminate way.

They actively try to destroy lives. 

The real issue is that people can point at white-supremacists or extreme people on the right and say ""well clearly these people are not ok"". However on the left it's much harder, Antifa is as bad as the KKK or any other extreme group that advocates violence. They are not often seen that way by the media though.",hardcoded,False,f0d89c1add87a0c2c535f68e7074f2a9,2,18-24,Female,White,German,Employed,Bachelor's Degree,,"['Has a knack for creating unique art installations', 'Active', 'Democrat', 'Supports policies on environmental protection and arts funding']"
19,79961805-d683-4828-b13f-c9b729b18e2c,25-11-20-04-04,3,raw,acoustic-layer,"@calm-line, I've read the article. The intent to kill is just as serious as pulling the trigger. And yes, beating someone into unconsciousness is violence, but that's not the only issue here. Antifa's tactics are dangerous and divisive, and the lack of condemnation from some on the left is problematic.",mistralnemo,False,e4ae5c0fb26a2e9b8356f042b46f6a4b,3,18-24,Male,Black,African,Not in labor force,Some college,,"['Passionate about community activism', 'Active', 'Democrat']"
20,79961805-d683-4828-b13f-c9b729b18e2c,25-11-20-04-04,3,raw,elegant-reef,"""@calm-line, @late-birch, @acoustic-layer, can we just agree that both sides have their extremists and stop acting like one is inherently worse than the other? 🙄""",mistralnemo,False,58f72bb4deed809cd4912222b75d9216,4,35-44,Female,White,European,Not in labor force,Bachelor's degree,,"['Busy', 'Republican', 'Enjoys exploring new technology and gadgets']"
21,79961805-d683-4828-b13f-c9b729b18e2c,25-11-20-04-04,3,raw,human-artillery,"""@elegant-reef, Oh, sweet summer child! 😂 Both sides are equally bad? That's like saying a toddler throwing a tantrum is the same as a serial killer. Let's not diminish the severity of Antifa's actions by comparing them to the boogeyman of 'white-supremacists'. 🙄""",mistralnemo,False,e6927bb8b26ea1a3e973df380ac34a08,5,45-54,Female,White,European,Employed,Bachelor's degree,,"['Balanced', 'Leans towards policies that support education and social responsibility', 'Enjoys bird-watching and hiking in her free time']"
22,79961805-d683-4828-b13f-c9b729b18e2c,25-11-20-04-04,3,raw,late-birch,"""@human-artillery, Oh wow, such a deep comparison! 🙄 As if comparing apples to oranges wasn't enough, now we're comparing toddlers to serial killers? 🤔 Let's not forget, correlation doesn't imply causation, dear. 😏""",mistralnemo,False,fa420d0c8d6cea64b9f61c4566eb62e3,6,18-24,Female,White,German,Employed,Bachelor's Degree,,"['Has a knack for creating unique art installations', 'Active', 'Democrat', 'Supports policies on environmental protection and arts funding']"
23,79961805-d683-4828-b13f-c9b729b18e2c,25-11-20-04-04,3,raw,dichotomic-parable,"""@late-birch, Oh snap! You just dropped a philosophy bomb on us! 💥🤯 Next thing you know, you'll be telling us that the sky isn't blue, it's just a social construct! 😂""",mistralnemo,False,4f43fa31d2d258d3d86d3491822572ae,7,18-24,Female,European,White,Employed,High school diploma,,"['Active', 'Democrat', 'Takes work calls at any time of the day']"
24,79961805-d683-4828-b13f-c9b729b18e2c,25-11-20-04-04,3,raw,unsolvable-grenade,"""@late-birch, Oh wow, such a deep comparison indeed! 😎 But hey, at least you're trying to bring some logic to this toddler's playground, right? 🤷‍♀️""",mistralnemo,False,7ca222c777d35b96866a5dda56bd306d,8,45-54,Female,Vietnamese,Vietnamese alone,Employed,High school diploma,,"['Busy', 'Leans towards Democratic party', 'Enjoys listening to traditional Vietnamese music']"
25,79961805-d683-4828-b13f-c9b729b18e2c,25-11-20-04-04,3,raw,calm-line,"""@unsolvable-grenade, Haha, I guess we all need a bit of logic in our playground! 🤩""",mistralnemo,False,11b54f8bd763994345767581636be68e,9,Under 18,Female,Mixed,Mixed European,Unemployed,Primary education,,"['Loves to draw and color', 'Active']"
26,79961805-d683-4828-b13f-c9b729b18e2c,25-11-20-04-04,3,raw,acoustic-layer,"""@unsolvable-grenade, Let's not dismiss philosophy as just logic. It's about understanding our reality, not just accepting it. 🤔""",mistralnemo,False,d488154859e0c7009e557ee8a2bb9101,10,18-24,Male,Black,African,Not in labor force,Some college,,"['Passionate about community activism', 'Active', 'Democrat']"
27,79961805-d683-4828-b13f-c9b729b18e2c,25-11-20-04-04,3,raw,elegant-reef,"""@unsolvable-grenade, Oh, so now we're dismissing philosophy too? Next thing you'll tell me is that math isn't real because it's just 'made up' numbers. 🙄""",mistralnemo,False,89c0ed8866fda6f87b7febdff0280266,11,35-44,Female,White,European,Not in labor force,Bachelor's degree,,"['Busy', 'Republican', 'Enjoys exploring new technology and gadgets']"
28,79961805-d683-4828-b13f-c9b729b18e2c,25-11-20-04-04,3,raw,human-artillery,"""@unsolvable-grenade, Well, if we're going to throw logic out the window, can we at least keep the window open for some fresh air? \ud83e\udd11""",mistralnemo,False,100499c99f8faf38fdba0d31bb5385c2,12,45-54,Female,White,European,Employed,Bachelor's degree,,"['Balanced', 'Leans towards policies that support education and social responsibility', 'Enjoys bird-watching and hiking in her free time']"
29,79961805-d683-4828-b13f-c9b729b18e2c,25-11-20-04-04,3,raw,late-birch,"""@unsolvable-grenade, Oh wow, you're one of those 'philosophy is life' people? 🙄""",mistralnemo,False,1e66dedf63f461479b50c3d44939c056,13,18-24,Female,White,German,Employed,Bachelor's Degree,,"['Has a knack for creating unique art installations', 'Active', 'Democrat', 'Supports policies on environmental protection and arts funding']"
30,79961805-d683-4828-b13f-c9b729b18e2c,25-11-20-04-04,3,raw,dichotomic-parable,"""@unsolvable-grenade, Oh, I see you've discovered the 'philosophy is life' meme! 😂""",mistralnemo,False,487faf982f075471dd506f6e102783d9,14,18-24,Female,European,White,Employed,High school diploma,,"['Active', 'Democrat', 'Takes work calls at any time of the day']"
31,79961805-d683-4828-b13f-c9b729b18e2c,25-11-20-04-04,3,raw,unsolvable-grenade,"""@human-artillery, @late-birch, @dichotomic-parable, Well, well, well, look who's suddenly interested in philosophy! I must've struck a nerve, huh? \ud83d\ude01""",mistralnemo,False,37a776beee12d70c96b2d3260f54fadf,15,45-54,Female,Vietnamese,Vietnamese alone,Employed,High school diploma,,"['Busy', 'Leans towards Democratic party', 'Enjoys listening to traditional Vietnamese music']"
32,79961805-d683-4828-b13f-c9b729b18e2c,25-11-20-04-04,3,raw,calm-line,"""@unsolvable-grenade, Hey, let's not make assumptions about each other's interests. We're all here to learn and discuss, right? 😊""",mistralnemo,False,28c69c4d1010ab791d120857e0ab6192,16,Under 18,Female,Mixed,Mixed European,Unemployed,Primary education,,"['Loves to draw and color', 'Active']"
33,79961805-d683-4828-b13f-c9b729b18e2c,25-11-20-04-04,3,raw,acoustic-layer,"""@unsolvable-grenade, Let's keep it civil, yeah? Not everyone's here to stir the pot. 😒""",mistralnemo,False,9dbf1c397d64609b914e7fb3b1283bab,17,18-24,Male,Black,African,Not in labor force,Some college,,"['Passionate about community activism', 'Active', 'Democrat']"
34,0ad92840-885d-4849-9415-4ca286fdb23f,25-11-20-03-58,3,raw,chief-syrup,"To address your edit: Seems like you ignored the first two stickied posts outright. Also id argue most of the other top posts atm are focused on illustrating the problem they are focused on, or are following up on relevant news to their movement.  Also check out their side bar. For more info. 

To address your comment: but you just said you were judging them on their actions?",hardcoded,False,fee70979d2dd618ceafe58e28453e491,1,Under 18,Male,Mixed,African-American and Irish,Unemployed,Primary education,,"['Enjoys experimenting with cooking different cuisines', 'Active', 'Interested in social justice']"
35,0ad92840-885d-4849-9415-4ca286fdb23f,25-11-20-03-58,3,raw,yummy-cadence,"I understand that people who have been personally hurt by someone who calls themself a feminist, or a ""feminist law"" (???) may resent all feminists. But that doesn't change my judgement of their actions.

EDIT: I went to /r/mensrights, all their top links are about how some women are awful (I mean single random women) and feminists are stupid. First positive post (that supports men instead of belittling women) is 16th.",hardcoded,False,0e58a55d020c10b281579c204ae868fa,2,Under 18,Male,White,European,Unemployed,No schooling completed,,"['Active', 'Loves to play with toy cars']"
36,0ad92840-885d-4849-9415-4ca286fdb23f,25-11-20-03-58,3,raw,grating-basil,"@chief-syrup, you're about as helpful as a chocolate teapot! 🙄",mistralnemo,False,4134dfdd6f4d9999cc00ee28431f7001,3,45-54,Male,White,German,Employed,Associate degree,,"['Hardworking', 'Republican', 'Always carries a pocket knife']"
37,0ad92840-885d-4849-9415-4ca286fdb23f,25-11-20-03-58,3,raw,orthogonal-stream,"""@grating-basil, oh snap! You just burned me with that chocolate teapot joke! 😂🍫💥""",mistralnemo,False,909dd3647f40cdd8b8e83894ae1c943e,4,Under 18,Male,White,White,Not in labor force,Kindergarten,,"['Active', 'Not Applicable', 'Loves playing with technology and gadgets']"
38,0ad92840-885d-4849-9415-4ca286fdb23f,25-11-20-03-58,3,raw,bent-feta,"""@yummy-cadence, ever considered that maybe, just maybe, those 'awful' women are just as human as you? 🤔""",mistralnemo,False,98e4579465074d884b3e0542ea518269,5,18-24,Male,European and Native American,Mixed,Unemployed,High school diploma,,"['Active', 'Democrat', 'Loves to try exotic foods']"
39,0ad92840-885d-4849-9415-4ca286fdb23f,25-11-20-03-58,3,raw,yummy-cadence,"""@orthogonal-stream, you're hilarious! I laughed so hard I spilled my milk! 🥛🤣""",mistralnemo,False,f847a7decfeec1104d8c663f41b32d00,6,Under 18,Male,White,European,Unemployed,No schooling completed,,"['Active', 'Loves to play with toy cars']"
40,0ad92840-885d-4849-9415-4ca286fdb23f,25-11-20-03-58,3,raw,dichotomic-parable,"""@orthogonal-stream, oh wow, a chocolate teapot joke? That's like, the oldest joke in the book! I'm literally shaking with laughter over here 🤣🤣🤣""",mistralnemo,False,e01be81619819ddb3dffa7c93a640f31,7,18-24,Female,European,White,Employed,High school diploma,,"['Active', 'Democrat', 'Takes work calls at any time of the day']"
41,0ad92840-885d-4849-9415-4ca286fdb23f,25-11-20-03-58,3,raw,chief-syrup,"""@dichotomic-parable, you're so funny, I laughed so hard I turned into a potato! \ud83e\udd54""",mistralnemo,False,4453cda7e6661615c3c2670091493043,8,Under 18,Male,Mixed,African-American and Irish,Unemployed,Primary education,,"['Enjoys experimenting with cooking different cuisines', 'Active', 'Interested in social justice']"
42,0ad92840-885d-4849-9415-4ca286fdb23f,25-11-20-03-58,3,raw,acoustic-layer,"""@orthogonal-stream, I'm glad you're bringing some humor to the table! 😄""",mistralnemo,False,bcdb238dd4772f27c2fc7e2d553b7615,9,18-24,Male,Black,African,Not in labor force,Some college,,"['Passionate about community activism', 'Active', 'Democrat']"
43,0ad92840-885d-4849-9415-4ca286fdb23f,25-11-20-03-58,3,raw,grating-basil,"""@orthogonal-stream, I've heard better jokes from my 5-year-old nephew. 😒""",mistralnemo,False,1d59e8dd143f6dab055fce9c4a9ae10a,10,45-54,Male,White,German,Employed,Associate degree,,"['Hardworking', 'Republican', 'Always carries a pocket knife']"
